Проект,Цена,Заявки,Категории
Модификация правил обмена для 1С,,нет,
Интеграция сайта и трекера по постбеку,,нет,
Нарисовать дизайн лендинга для онлайн курса,,32,Дизайн сайтов
Настройка рекламы instagram через ads manager,,13,Социальные сети (SMM и SMO)
Поправки на сайте на платформе MODX Revolution 2.6.2,,2,Веб-программирование
Вопрос касательно анимационого ролика,,6,Анимация
Не загружается фото в Вордпресс - Ошибка HTTP.,$20,10,Веб-программирование
Доработка лендинга на WordPress,,4,Системы управления (CMS)
MODX - доработка сайта,,1,Веб-программирование
"Требуется разработка логотипа, подробности выбранному исполнителю",,22,Логотипы и Знаки
Мотивационное письмо в университет,,9,Продающие тексты
Создание чертежа упаковки,,9,Чертежи и Схемы
Тест для лендинга. Капитальное Строительство,,8,Копирайтинг
Необходимо прозвонить частные детские сады,,нет,
Срочно нужен дизайнер для портала статей,$50,15,Дизайн сайтов
"Скрипт исходящего обзвона, Auto dial-out",,1,Веб-программирование
Подписаться на тематические аккаунты,,10,Социальные сети (SMM и SMO)
Срочная работа - Нужен Баннер,$10,10,Наружная реклама
Доработки JS. Сайта на Laravel,,2,Веб-программирование
Оконный калькулятор на сайт с возможностью сохранения данных,,6,Веб-программирование
Продвижение соц сетей диджея,,12,Социальные сети (SMM и SMO)
Презентация на 9 страниц для ИТ-компании на английском языке.,,5,Презентации
Продвижение сайта в поисковых системах,,17,Поисковые системы (SEO)
Сверстать карусель js,,11,HTML-верстка
"Php, js разработчики в команду. (+фуллстек, +техпис)",,7,"Веб-программирование, Базы данных"
Создание корпоративного сайта для сотрудников компании,,5,Веб-программирование
Laravel написать логику реферальной системы,,5,Веб-программирование
SEO-оптимизация сайта,,14,Поисковые системы (SEO)
Нужно провести экспорт товаров с сайта и импорт в СДЭК,,2,Интернет-магазины
Реклама в соцсетях для частного детского сада.,,12,Контекстная реклама
Верстка сайта + посадка на WP,,9,"HTML-верстка, Системы управления (CMS)"
Спарсить единоразово каталог и загрузить в магазин 1С-Битрикс,,6,Веб-программирование
Подключить оплату картами на сайте,,2,Веб-программирование
Виджет на джумлу,,1,Веб-программирование
Проверка безопасности веб-сайта на наличие SQL инъекций,,2,"Веб-программирование, Тестирование сайтов"
Продвижение сайта (сайтов). СЕО,,16,Поисковые системы (SEO)
Копия сайта,,5,Веб-программирование
Консультация по проекту на битрикс,,2,Системы управления (CMS)
Транскрибатор,$10,38,Транскрибация
Расширение функий OcStore 2.3,,5,Интернет-магазины
Требуется специалист по PrestaShop,,3,Веб-программирование
Планировка гардеробной - план,,2,Чертежи и Схемы
Для Sales менеджера,,нет,
Создать коллаж,,12,Иллюстрации и Рисунки
Сделать интеграцию сайт WordPress с AmoCRM,,6,Веб-программирование
Программист PHP,,6,Веб-программирование
Нужно доработать Front-end ERP систему,,2,Прикладное ПО
WP + PHP программинг.  Добавить новые кастомные функции к сайту,,4,Веб-программирование
Ищу автора на крупный заказ,,28,Рерайтинг
Написать слово в нестандартном шрифте,,4,Шрифты
Внести правки на сайт OpenCart 2.3,,4,Веб-программирование
Нужно отрисовать 3 параллакс-баннера для интернет-магазина,,4,Иллюстрации и Рисунки
Доработать логотип студии по лазерной эпиляции,$45,26,Логотипы и Знаки
Фильтр для товаров WooCommerce,,4,Веб-программирование
Интеграция складской программы и сайта,,1,Веб-программирование
"Логотип "" цитатника",$20,15,Логотипы и Знаки
Маркетинговое и дизайнерское решение,,12,"Логотипы и Знаки, Нейминг и Слоганы"
Вёрстка сайта на WordPress,,5,HTML-верстка
Помощь с поднятием сайта на vps),,7,Системное администрирование
Живые отзывы,$200,3,Поисковые системы (SEO)
Тестирование мобильных сервисов (Белоруссия),,5,Тестирование сайтов
Помощь с Битрикс,,4,Веб-программирование
Необходимо написать тексты для карточек товаров [100 позиций],,24,Копирайтинг
Нейминг и лого для кафе стрит-фуда,,25,"Логотипы и Знаки, Нейминг и Слоганы"
Кросплатформенное приложение front + back,$1000,6,Веб-программирование
Наложить телефон на видео,,10,Видеомонтаж
Перевод текста на сайт,$20,8,Переводы
Сбор номеров через приложение.,$50,9,Наполнение сайтов
Сверстать адаптивный лендинг,,21,HTML-верстка
